Symbol	Description
CTY	City of London Investment Trust Plc
CTYA	City of London Investment Trust Plc
CU01	Ishares Vii Plc
CU1	Ishares Vii Plc
CU2G	Amundi ETF
CU2U	Amundi ETF
CU31	Ishares Vii Plc
CU71	Ishares Vii Plc
CUK	Amundi Investment Solutions
CUKS	CS ETF [Ie] Plc
CUKX	CS ETF [Ie] Plc
CUS1	Ishares Vii Plc
CUSS	CS ETF [Ie] Plc
CVB	Coventry Building Society
CVBP	Coventry Building Society
CVR	Conviviality Retail Plc
CVSG	CVS Group Plc
CW8U	Amundi ETF
CWC	Cable & Wireless Communications Plc
CWD	Countrywide Plc
CWEG	Amundi ETF
CWEU	Amundi ETF
CWFG	Amundi ETF
CWK	Cranswick Plc
CWR	Ceres Power Holdings Plc
CYAN	Cyan Holdings Plc
CYBG	Cybg Plc
CYN	City Natural Resources High Yield Trust
CYNC	City Natural Resources High Yield Trust
CYS	Chrysalis Vct Plc
CZA	Coal of Africa Limited
CZB	Commerzbank Ag
D467	Downing Four Vct Plc
D4OO	Downing Four Vct Plc
D4SO	Downing Four Vct Plc
DAIP	Daily Internet Plc
DAL	Dalata Hotel Group Plc
DALR	Dalradian Resources Inc.
DATA	Globaldata Plc
DAXX	Multi Units Luxembourg
DBRC	Ishares II Plc
DC	Dixons Carphone
DCC	Dcc Plc
DCD	Dcd Media Plc
DCG	Dairy Crest Group Plc
DCI	Dolphin Capital Investors Limited
DCP	Diamondcorp Plc
DDD	DDD Group Plc
DDDD	4D Pharma Plc
DDV1	Downing One Vct Plc
DEB	Debenhams Plc
DEGOV01	FTSE Germany Government
DEIN	Ishares II Plc
DEL2	Go Ucits ETF Solutions P
DEM	Wisdomtree Issuer Plc
DEMA	Wisdomtree Issuer Plc
DEMAEIV	Wisdomtree Emerging Asia Equity Income U
DEMD	Wisdomtree Issuer Plc
DEMEIV	Wisdomtree Emerging Mark
DEMG	Deltex Medical Group Plc
DEMP	Wisdomtree Issuer Plc
DEMV	Ossiam Lux
DES2	Go Ucits ETF Solutions P
DESE	Wisdomtree Issuer Plc
DESEEIV	Wisdomtree US Smallcap D
DFE	Wisdomtree Issuer Plc
DFEE	Wisdomtree Issuer Plc
DFEIV	Wisdomtree Europe Smallc
DFS	Dfs Furniture Plc
DFX	Defenx Plc
DGB	Digital Barriers Plc
DGE	Diageo Plc
DGED	Diageo Plc
DGS	Digital Globe Services
DGSD	Wisdomtree Issuer Plc
DGSE	Wisdomtree Issuer Plc
DGSEEIV	Wisdomtree Emerging Mark
DH2O	Ishares II Plc
DHS	Wisdomtree Issuer Plc
DHSD	Wisdomtree Issuer Plc
DHSEIV	Wisdomtree US Equity Inc
DIA	Dialight Plc
DIG	Dunedin Income Growth Investment Trust P
DIGS	Gcp Student Living Plc
DIL2	Damille Investments II L
DIS	Distil Plc
DISG	Multi Units Luxembourg
DISW	Multi Units Luxembourg
DIVI	Diverse Income Trust [The] Plc
DJAN	Daejan Holdings Plc
DJEL	Lyxor International Asse
DJI	Dji Holdings Plc
DJMC	Ishares Plc
DJSC	Ishares Plc
DKL	Dekeloil Public Limited
DKUS	FTSE Nasdaq Dubai Kuwait 15 Shariah Inde
DKUW	FTSE Nasdaq Dubai Kuwait 15 Index
DL2P	Go Ucits ETF Solutions P
DLAR	De La Rue Plc
DLG	Direct Line Insurance Gr
DLN	Derwent London Plc
DLTM	Ishares II Plc
DMGT	Daily Mail & General Trust Plc
DNA	Doric Nimrod Air One Limited
DNA2	Doric Nimrod Air Two Lim
DNA3	Doric Nimrod Air Three L
DNDL	Dunedin Smaller Companies Investment Tru
DNE	Dunedin Enterprise Investment Trust Plc
DNL	Diurnal Group Plc
DNLM	Dunelm Group Plc
DNRG	Ishares II Plc
DO1O	Downing Four Vct Plc
DODS	Dods [Group] Plc
DOM	Domino's Pizza Group Plc
DOTD	Dotdigital Group Plc
DP2F	Downing Two Vct Plc
DP2G	Downing Two Vct Plc
DPA	Dp Aircraft I Limited
DPH	Dechra Pharmaceuticals Plc
DPLM	Diploma Plc
DPP	Dp Poland Plc
DQAS	FTSE Nasdaq Dubai Qatar 10 Shariah Index
DQAT	FTSE Nasdaq Dubai Qatar 10 Index
DREF	Duet Real Estate Finance Limited
DRG	Draganfly Investments Limited
DRS	Drs Data & Research Services Plc
DRTY	Darty Plc
DRV	Driver Group Plc
DRX	Drax Group Plc
DS2P	Go Ucits ETF Solutions P
DSG	Dillistone Group Plc
DSUG	Multi Units France
DSUK	Multi Units France
DSUS	Multi Units France
DTC	Datatec Limited
DTG	Dart Group Plc
DTY	Dignity Plc
DUAE	FTSE Nasdaq Dubai UAE 20 Index USD
DUAED	FTSE Nasdaq Dubai UAE 20 Index Aed
DUKE	Duke Royalty Limited
DUPD	Dragon-Ukrainian Properties & Developmen
DVO	Devro Plc
DVT	Davictus Plc
DVUK	Source Markets II Plc
DVUS	Source Markets II Plc
DVW	Dee Valley Group Plc
DVWA	Dee Valley Group Plc
DWCG	DW Catalyst Fund Limited
DWCU	DW Catalyst Fund Limited
DWHA	Dewhurst Plc
DWHT	Dewhurst Plc
DWOD	Ishares II Plc
DX	DX Group
DXGEEIV	Wt Geequcetfusdhine
DXGP	Wisdomtree Issuer Plc
DXGPIV	Wisdomtree Germany Equit
DXGY	Wisdomtree Issuer Plc
DXGYEIV	Wisdomtree Germany Equity Ucits ETF - EU
DXJ	Wisdomtree Issuer Plc
DXJEIV	Wisdomtree Japan Equity
DXJFEIV	Wisdomtree Japan Equity Ucits ETF - EUR
DXJG	Wisdomtree Issuer Plc
DXJPEIV	Wt Jpequcetfgbphine
DXJZ	Wisdomtree Issuer Plc
DXJZEIV	Wisdomtree Japan Equity Ucits ETF - Jpy
E0500	FTSE Eurofirst Oil & Gas
E0EU	FTSE Epra/Nareit Euro Zo
E0RA	FTSE Epra/Nareit Europe
E0UK	FTSE Epra/Nareit Europe
E1300	FTSE Eurofirst Chemicals
E1700	FTSE Eurofirst Basic Res
E1X	FTSE Eurotop 100
E20Y	Ishares IV Plc
E2300	FTSE Eurofirst Construct
E2700	FTSE Eurofirst Industria
E2V	E2V Technologies Plc
E3300	FTSE Eurofirst Automobil
E3500	FTSE Eurofirst Food & BE
E3700	FTSE Eurofirst Personal
E3X	FTSE Eurofirst 300
E3X0001	FTSE Efst300 Oil & Gas
E3X0530	FTSE Efst300 Oil & Gas P
E3X0580	Ftseurofirst 300 Alterna
E3X1000	FTSE Efst300 Basic Mater
E3X1350	FTSE Efst300 Chemicals
E3X1730	FTSE Efst300 Forestry &
E3X1750	FTSE Efst300 Industrial
E3X1770	FTSE Efst300 Mining
E3X2000	FTSE Efst300 Industrials
E3X2350	FTSE Efst300 Constructio
E3X2710	FTSE Efst300 Aerospace &
E3X2720	FTSE Efst300 General Ind
E3X2730	FTSE Efst300 Electronic&
E3X2750	FTSE Efst300 Industrial
E3X2770	FTSE Efst300 Industrial
E3X2790	FTSE Efst300 Support Ser
E3X3000	FTSE Efst300 Consumer Go
E3X3350	FTSE Efst300 Automobiles
E3X3530	FTSE Efst300 Beverages
E3X3570	FTSE Efst300 Food Produc
E3X3720	FTSE Efst300 Household G
E3X3760	FTSE Efst300 Personal Go
E3X3780	FTSE Efst300 Tobacco
E3X4000	FTSE Efst300 Health Care
E3X4530	FTSE Efst300 Health Care
E3X4570	FTSE Efst300 Pharmaceuti
E3X5000	FTSE Efst300 Consumer Se
E3X5330	FTSE Efst300 Food & Drug
E3X5370	FTSE Efst300 General Ret
E3X5550	FTSE Efst300 Media
E3X5750	FTSE Efst300 Travel & Le
E3X6000	FTSE Efst300 Telecommuni
E3X6530	FTSE Efst300 Fixed Line
E3X6570	FTSE Efst300 Mobile Tele
E3X7000	FTSE Efst300 Utilities
E3X7530	FTSE Efst300 Electricity
E3X7570	FTSE Efst300 Gas Water &
E3X8000	FTSE Efst300 Financials
E3X8350	FTSE Efst300 Banks
E3X8530	FTSE Efst300 Nonlife Ins
E3X8570	FTSE Efst300 Life Insura
E3X8630	Ftseurofirst 300  Real Estate Investment
E3X8670	FTSE Eurofirst 300 Real
E3X8770	FTSE Efst300 General Fin
E3X9000	FTSE Efst300 Technology
E3X9530	FTSE Efst300 Software&Co
E3X9570	FTSE Efst300 Technology
E4500	FTSE Eurofirst Health CA
E5300	FTSE Eurofirst Retail
E5500	FTSE Eurofirst Media
E5700	FTSE Eurofirst Travel &
E6500	FTSE Eurofirst Telecommu
E7500	FTSE Eurofirst Utilities
E8300	FTSE Eurofirst Banks
E8500	FTSE Eurofirst Insurance
E8600	FTSE Eurofirst Supersect
E8700	FTSE Eurofirst Financial
E9500	FTSE Eurofirst Technolog
EAH	Eco Animal Health Group Plc
EAS	Energy Assets Group Plc
EAT	European Assets Trust Nv
EB0500	FTSE Eurofirst Euro Oil
EB1300	FTSE Eurofirst Euro Chem
EB16	European Investment Bank
EB1700	FTSE Eurofirst Euro Basi
EB1X	FTSE Euro 100
EB2300	FTSE Eurofirst Euro Cons
EB2700	FTSE Eurofirst Euro Indu
EB3300	FTSE Eurofirst Euro Auto
EB3500	FTSE Eurofirst Euro Food
EB3700	FTSE Eurofirst Euro Pers
EB4500	FTSE Eurofirst Euro Heal
EB5300	FTSE Eurofirst Euro Reta
EB5500	FTSE Eurofirst Euro Medi
EB5700	FTSE Eurofirst Euro Trav
EB6500	FTSE Eurofirst Euro Tele
EB7500	FTSE Eurofirst Euro Util
EB8300	FTSE Eurofirst Euro Bank
EB8500	FTSE Eurofirst Euro Insu
EB8600	FTSE Eurofirst Eurozone
EB8700	FTSE Eurofirst Euro Fina
EB9500	FTSE Eurofirst Euro Tech
EBGOV01	FTSE All Eurozone Govern
EBGOV03	FTSE All Eurozone Govern
EBGOV05	FTSE All Eurozone Govern
EBGOV07	FTSE All Eurozone Govern
EBGOV10	FTSE All Eurozone Govern
EBGOV30	FTSE All Eurozone Govern
EBQ	Ebiquity Plc
ECEL	Eurocell Plc
ECK	Eckoh Plc
ECM	Electrocomponents Plc
ECR	Ecr Minerals Plc
ECWL	Ecofin Water & Power Opportunities Plc
ECWO	Ecofin Water & Power Opportunities Plc
ECWZ	EW&Po Finance Plc
EDEN	Eden Research Plc
EDGC	Edge Performance Vct Plc
EDGD	Edge Performance Vct Plc
EDGE	Edge Performance Vct Plc
EDGF	Edge Performance Vct Plc
EDHAPAC	FTSE Edhec Risk Asia/Pacific
EDHAPXJ	FTSE Edhec Risk Asia/Pacific Ex JP
EDHAW	FTSE Edhec Risk All World
EDHAWXUK	FTSE Edhec Risk All Ex UK
EDHAWXUS	FTSE Edhec Risk All Ex US
EDHDAXJ	FTSE Edhec-Risk Efficient Developed Asia
EDHDEUR	FTSE Edhec Risk Dvlp EUR
EDHDEUXU	FTSE Edhec Risk Dvlp EUR Ex UK
EDHDEV	FTSE Edhec Risk Dvlp
EDHDXJ	FTSE Edhec Risk Eff Dev Japan
EDHDXUS	FTSE Edhec-Risk Efficien
EDHEBLOC	FTSE Edhec-Risk Efficient Eurobloc Index
EDHEMER	FTSE Edhec Risk Emerging
EDHJPN	FTSE Edhec Efficient Japan
EDHUK	FTSE Edhec Risk UK
EDHUSA	FTSE Edhec Risk US
EDIN	Edinburgh Investment Trust Plc
EDL	Edenville Energy Plc
EDP	Electronic Data Processing Plc
EDR	Egdon Resources Plc
EDV	Elderstreet Vct Plc
EDVD	SSGA SPDR ETFS Europe I Plc
EEI	Wisdomtree Issuer Plc
EEIE	Wisdomtree Issuer Plc
EEIIV	Wisdomtree Europe Equity
EEMB	Ishares II Plc
EEP	Eastern European Property Fund Limited
EEUI	FTSE Epra/Nareit Developed EMEA Index
EEX5	Ishares III Plc
EEXF	Ishares III Plc
EF80	FTSE Eurofirst 80
EFC1	FTSE Eurofirst 100
EFGD	Efg-Hermes Holding S.A.E
EFID	Edita Food Industries S.
EFIS	Source Markets Public Li
EFIW	Source Markets Public Li
EFM	Edinburgh Dragon Trust Plc
EFMC	Edinburgh Dragon Trust Plc
EG20	Ishares IV Plc
EGAS	Epra Asia Index [Eur]
EGIL	Ishares III Plc
EGNA	Epra North America Index
EGS	EG Solutions Plc
EGXU	Epra/Nareit Global [Ex Us] Index
EHG	Elegant Hotels Group Plc
EHP	Epistem Holdings Plc
EIMI	Ishares Plc
EKF	Ekf Diagnostics Holdings Plc
EKT	Elektron Technology Plc
ELA	Eland Oil & Gas Plc
ELAU	Epra Australia Index
ELCO	Eleco Plc
ELE	Electric Word Plc
ELHK	Epra Hong Kong Index
ELJP	Epra Japan Index
ELLA	Ecclesiastical Insurance Office Plc
ELM	Elementis Plc
ELOW	SSGA SPDR ETFS Europe II
ELSA	Societatea Comerciala De
ELTA	Electra Private Equity Plc
ELTZ	Electra Private Equity Investments Plc
ELUK	Epra UK Index
ELUKNUK	FTSE Epra/Nareit UK Net
ELX	El Oro Ltd
EMAD	SSGA SPDR ETFS Europe I Plc
EMAN	Everyman Media Group Plc
EMAS	SSGA SPDR ETFS Europe I Plc
EMBB	SSGA SPDR ETFS Europe II
EMBE	Ishares Vi Plc (The Comp
EMCB	SSGA SPDR ETFS Europe I
EMCO	SSGA SPDR ETFS Europe I
EMCP	Ishares V Public Limited Company
EMCR	Ishares V Public Limited Company
EMDD	SSGA SPDR ETFS Europe I Plc
EMDL	SSGA SPDR ETFS Europe I Plc
EMDV	SSGA SPDR ETFS Europe I Plc
EME	Empyrean Energy Plc
EMG	Man Group Plc
EMH	European Metals Holdings Limited
EMH5	SSGA SPDR ETFS Europe II
EMIL	SSGA SPDR ETFS Europe I
EMIM	Ishares Plc
EMIN	SSGA SPDR ETFS Europe I
EMIS	Emis Group Plc
EMLA	SSGA SPDR ETFS Europe I Plc
EMLB	Pimco Fixed Income Source ETFS Plc
EMLD	SSGA SPDR ETFS Europe I Plc
EMLI	Pimco Fixed Income Sourc
EMLP	Pimco Fixed Income Sourc
EMM	Emerging Market Minerals
EMMV	Ishares Vi Plc (The Comp
EMOD	SSGA SPDR ETFS Europe I Plc
EMR	Empresaria Group Plc
EMRD	SSGA SPDR ETFS Europe I Plc
EMRG	SSGA SPDR ETFS Europe I Plc
EMSM	SSGA SPDR ETFS Europe I Plc
EMUE	SSGA SPDR ETFS Europe I
EMUL	Ishares IV Plc
EMUM	Ishares IV Plc
EMUU	Ishares Vii Plc
EMV	Ishares Vi Plc (The Comp
EMXB	SSGA SPDR ETFS Europe II
ENA3	FTSE Epra/Nareit Asia 33
ENAD	Epra/Nareit Asia Index [Us Version]
ENDEM	FTSE Epra/Nareit Developed Ex Mea Index
ENDP	FTSE Epra Europe Ex UK Dividend +
ENEA	FTSE Epra/Nareit Emer Asia Pac Index
ENEE	FTSE Epra/Nareit Europe Non-Reit
ENEF	ETFS Commodity Securities Limited
ENEI	FTSE Epra/Nareit Emerging Index
ENEL	FTSE Epra/Nareit Emer Americas Index
ENEM	FTSE Epra/Nareit Emerging EMEA Index
ENER	UBS Ag
ENEU	FTSE Epra/Nareit Emerging Europe Index
ENFX	ETFS Foreign Exchange Li
ENGD	Epra/Nareit Global Index
ENGI	Energiser Investments Plc
ENGL	Epra Global Index
ENGY	SSGA SPDR ETFS Europe II
ENHA	FTSE Epra/Nareit Americas Index
ENHE	FTSE Epra/Nareit Global Ex US Index
ENHG	FTSE Epra/Nareit Global Index
ENHM	FTSE Epra/Nareit Middle East and Africa
ENHN	FTSE Epra/Nareit EMEA Index
ENHP	FTSE Epra/Nareit Asia Pacific Index
ENHU	FTSE Epra/Nareit Europe Index
ENME	FTSE Epra/Nareit Emer M East&Africa Idx
ENQ	Enquest Plc
ENQ1	Enquest Plc
ENRT	Environmental Recycling Tech. Plc
ENTU	Entu (Uk) Plc
ENUD	Epra/Nareit US Index
ENXGUS	FTSE  Epra/Nareit Global
EO100	FTSE Env Opportunities 1
EOAIM	FTSE Evm Opport Aim Index
EOAP	FTSE Evm Opport Asia Pac Index
EOAS	FTSE Env Opp All-Shares Idx
EOAX	FTSE Evm Opport Asia Pac Ex-Japan Index
EOEE	FTSE Env Opp Energy Eff Idx
EOEE50	FTSE Env Opp Energy Eff
EOEU	FTSE Evm Opport Europe Index
EOG	Europa Oil & Gas [Holdings] Plc
EOJP	FTSE Evm Opportjapan Index
EORE	FTSE Env Opp Re+Alt Energy Eff Idx
EORE50	FTSE Env Opp Re+Alt Ener
EOUK	FTSE Evm Opport UK Index
EOUS	FTSE Evm Opport US Index
EOWP	FTSE Env Opp Waste+Pollution Control Idx
EOWP30	FTSE Env Opp Waste+Pollu
EOWR	FTSE Env Opp Water Tech Index
EOWR30	FTSE Env Opp Water Tech
EPEU	Epra Euro Zone Index
EPG	Ep Global Opportunities Trust Plc
EPHG	Epra Europe [Uk Restricted] Index
EPIC	Ediston Property Investm
EPO	Earthport Plc
EPRA	Epra Europe Index
EPRE	Amundi ETF
EPWN	Epwin Group Plc
EQN	Equiniti Group Plc
EQQQ	Powershares Glbal Funds Ireland Plc
EQQU	Powershares Glbal Funds
EREE	FTSE Epra/Nareit Europe REIT
ERET	European Real Estate Inv
ERGO	Ergomed Plc
ERM	Euromoney Institutional Investor Plc
ERN1	Ishares IV Plc
ERND	Ishares IV Plc
ERNE	Ishares IV Plc
ERNS	Ishares IV Plc
ERNU	Ishares IV Plc
ERO	SSGA SPDR ETFS Europe II
ERO1	Eros International Plc
ES15	Ishares Plc
ESCH	Escher Group Holdings Public Limited Com
ESG	Eservglobal Limited
ESGOV01	FTSE Spain Government To
ESNT	Essentra Plc
ESO	Epe Special Opportunities Plc
ESP	Empiric Student Property
ESR	Ensor Holdings Plc
ESUR	Esure Group Plc
ET	Establishment Investment Trust
ET100	FTSE Et100
ET50	FTSE Et50 Index
ETI	Enterprise Inns Plc
ETLN	Etalon Group Limited
ETO	Entertainment One Limited
ETX	E-Therapeutics Plc
EU5L	Sg Issuer
EU5S	Sg Issuer
EUA	Eurasia Mining Plc
EUAG	SSGA SPDR ETFS Europe I
EUCF	Ishares Vi Plc (The Comp
EUCO	SSGA SPDR ETFS Europe I
EUDI	SSGA SPDR ETFS Europe I Plc
EUDV	SSGA SPDR ETFS Europe I Plc
EUE	Ishares II Plc
EUHD	Powershares Glbal Funds Ireland Plc
EULC	Ishares IV Plc
EUN	Ishares II Plc
EUP3	ETFS Foreign Exchange Li
EUP5	ETFS Foreign Exchange Limited
EURCORPA	
EURE	SSGA SPDR ETFS Europe I
EURL	SSGA SPDR ETFS Europe I
EURO	SSGA SPDR ETFS Europe I
EURP	ETFS Foreign Exchange Limited
EUSC	SSGA SPDR ETFS Europe II
EUSP	EU Supply Plc
EUT	The European Investment Trust Plc
EUXS	Ishares Plc
EVG	Evgen Pharma Plc
EVO	Evocutis Plc
EVR	Evraz Plc
EVRH	Evr Holdings Plc
EWG	EW Group Limited
EWI	Edinburgh Worldwide Investment Trust Plc
EXFN	Ishares II Plc
EXI	Exillon Energy Plc
EXO	Exova Group Plc
EXPN	Experian Plc
EYE	Eagle Eye Solutions Grou
EZH	Easyhotel Plc
EZJ	Easyjet Plc
EZXU	Source Markets Public Li
F4GAS	Ftse4Goodaseanind
F4GEM	Ftse4Goodemergind
F4GLA	Ftse4Goodemlatamind
FAGR	ETFS Commodity Securities Limited
FAIG	ETFS Commodity Securities Limited
FAIR	Fair Oaks Income Fund Li
FAL	Falcon Acquisitions Limited
FAM	Finnaust Mining Plc
FAN	Volution Group Plc
FARN	Faron Pharmaceuticals Oy
FAS	Fidelity Asian Values Plc
FAUSA	FTSE Asfa Australia All-Share Index
FAUSLC	FTSE Asfa Australia Large Cap 50 Index
FAUSLMC	FTSE Asfa Australia 200 Index
FAUSMC	FTSE Asfa Australia Mid Cap 150 Index
FAUSO	FTSE Asfa Australia 100 Index
FAUSSC	FTSE Asfa Australia Small Cap Index
FAUST	FTSE Asfa Australia 300 Index
FAUSX	FTSE Asfa Australia All-Share Ex 100 Ind
FBBRC	FTSE Beyond Brics Index
FBBRCN	FTSE Beyond Brics Net of
FBDU	Flying Brands Ld
FBH	Fbd Holdings Plc
FBRIC	FTSE BRIC 50 Index
FBRIC50	FTSE Rafi BRIC Index
FBRT	ETFS Commodity Securities Limited
FBT	Forbidden Technologies Plc
FCCN	French Connection Group Plc
FCI	F&C Capital & Income Investment Trust Pl
FCIF	Funding Circle Sme Income Fund Limited
FCNBCA	
FCNBCG	
FCPT	F&C Commercial Property Trust Limited
FCR	Ferrum Crescent Limited
FCRE	F&C UK Real Estate Inves
FCRM	Fulcrum Utility Services Ld
FCRU	ETFS Commodity Securities Limited
FCS	F&C Global Smaller Companies Plc
FCSC	F&C Global Smaller Compa
FCSE	FTSE Cse Morocco 15 Index
FCSELIQ	FTSE Cse Morocco All-Liquid Index
FCSS	Fidelity China Special Situations Plc
FDAPQVY5	FTSE Developed Asia Pacific Qual/Vol/Yie
FDBK	Feedback Plc
FDEFQVY5	FTSE Developed Europe Qual/Vol/Yield 5%
FDEV	Frontier Developments Pl
FDI	Firestone Diamonds Plc
FDL	Findel Plc
FDM	Fdm Group (Holdings) Plc
FDP	First Derivatives Plc
FDSA	Fidessa Group Plc
FDXUCPFR	FTSE Developed Ex US Comprehensive Facto
FDXULBR	FTSE Developed Ex US Low Beta Equal Weig
FECPFR	FTSE Emerging Comprehensive Factor Net T
FEDF	Multi Units Luxembourg
FEDS	Federal Bank Limited (Th
FEES	Jsc Federal Grid Company
FEET	Fundsmith Emerging Equit
FEM	First Trust Global Funds
FEMU	First Trust Global Funds
FEN	Frenkel Topping Group Plc
FENR	Fenner Plc
FEUZ	First Trust Global Funds
FEV	Fidelity European Values Plc
FEVR	Fevertree Drinks Plc
FEX	First Trust Global Funds
FEXD	First Trust Global Funds
FEXU	First Trust Global Funds
FF50	FTSE Frontier 50 Index
FFWD	Fastforward Innovations Limited
FFX	Fairfx Group Plc
FFY	Fyffes Plc
FGCHN150	FTSE Greaterchin150
FGP	Firstgroup Plc
FGT	Finsbury Growth & Income Trust Plc
FH01	FTSE Asiatop Index
FH02	FTSE Asiatop Capped
FIF	Finsbury Food Group Plc
FIGOV01	FTSE Finland Government
FIND	ETFS Commodity Securities Limited
FING	Multi Units Luxembourg
FINW	Multi Units Luxembourg
FIPP	Frontier Ip Group Plc
FISH	Fishing Republic Plc
FITB	Fitbug Holdings Plc
FIVE	X5 Retail Group N.V
FJET	Fastjet Plc
FJP	First Trust Global Funds
FJV	Fidelity Japanese Values Plc
FJVS	Fidelity Japanese Values Plc
FKL	Falkland Islands Holdings Plc
FKU	First Trust Global Funds
FKUD	First Trust Global Funds Public Limited
FLFQVVF	FTSE Latin America Qual/
FLIV	ETFS Commodity Securities Limited
FLK	Fletcher King Plc
FLKS	FTSE Lujain Kuwait Shariah Index
FLKW	FTSE Lujain Kuwait Index
FLO	Flowtech Fluidpower Plc
FLOW	Flowgroup Plc
FLX	Falanx Group Limited
FLYB	Flybe Group Plc
FMIBI1	FTSE MIB Short Strategy
FMIBI1X	FTSE MIB Daily Short Str
FMIBI2	FTSE MIB Daily Super Sho
FMIBI2X	FTSE MIB Daily Super Sho
FMIBI3X	FTSE MIB Daily Ultra Sho
FMIBI5X	FTSE MIB Gross TR Index
FMIBL2	FTSE MIB Daily Leveraged
FMIBL2X	FTSE MIB Daily Leveraged
FMIBL3X	FTSE MIB Daily Super Lev
FMIBL4X	FTSE MIB Daily Ultra Lev
FMIBL5X	FTSE MIB TR Index
FMPG	F&C Managed Portfolio Trust Plc
FMPI	F&C Managed Portfolio Trust Plc
FN10	FTSE Nareit Equity Diver
FN11	FTSE Nareit Equity Healt
FN12	FTSE Nareit Equity Self
FN13C	FTSE Nareit Industrial/O
FN14	FTSE Nareit Equity Indus
FN15	FTSE Nareit Equity Offic
FN17	FTSE Nareit Equity Resid
FN17C	FTSE Nareit All Resident
FN18	FTSE Nareit Equity Apart
FN19	FTSE Nareit Equity Manuf
FN20	FTSE Nareit Equity Retai
FN20C	FTSE Nareit Retail Cappe
FN21	FTSE Nareit Equity Shopp
FN22	FTSE Nareit Equity Regio
FN23	FTSE Nareit Equity Free
FN24	FTSE Nareit Equity Lodgi
FN26	FTSE Nareit Timber
FN28	FTSE Nareit Infrastructu
FN42	FTSE Nareit Mortgage Hom
FN43	FTSE Nareit Mortgage Com
FNAR	FTSE Nareit All Reits
FNCL	SSGA SPDR ETFS Europe II
FNCO	FTSE Nareit Composite
FNER	FTSE Nareit Equity Reits
FNKEN1	FTSE Nse Kenya 15 Index
FNKEN2	FTSE Nse Kenya 25 Index
FNMR	FTSE Nareit Mortgage Reits
FNMRC	FTSE Nareit All Mortgage Capped Index
FNR5	FTSE Nareit Real Estate
FNRE	FTSE Nareit Equity
FOG	Falcon Oil & Gas Ltd.
FORT	Forterra Plc
FOUR	4Imprint Group Plc
FOX	Fox Marble Holdings Plc
FOXT	Foxtons Group Plc
FP	Friends Provident
FPEO	F&C Private Equity Trust Plc
FPET	ETFS Commodity Securities Limited
FPGAL	FTSE Portugal 20 Index
FPGALN	FTSE Portugal 20 Net Tax
FPM	Faroe Petroleum Plc
FPO	First Property Group Plc
FPX	First Trust Global Funds
FQCAACY	FTSE China A All Cap Ind
FQCAN	FTSE China A Net Tax Ind
FQCAY	FTSE China A Index
FQE	FTSE Emerging R/Qfii Ind
FQEAC	FTSE Emerging All Cap R/
FQEACN	FTSE Emerging All Cap R/
FQEACR	FTSE Emerging All Cap R/
FQECONQ	FTSE Emerging Incl China
FQECOQ	FTSE Emerging Incl China
FQEN	FTSE Emerging R/Qfii Net
FQM	First Quantum Minerals Ltd
FR10	FTSE Rafi 1000 Index
FR10N	FTSE Rafi US 1000 Net In
FR10Q	FTSE Rafi US 1000 Index
FR10QN	FTSE Rafi US 1000 Net In
FR15	FTSE Rafi US 1500 Index
FR15N	FTSE Rafi US 1500 MS Ind
FR15Q	FTSE Rafi US 1500 Mid Sm
FR15QN	FTSE Rafi US 1500 Mid Sm
FR30Q	FTSE Rafi US 3000 Index
FRAPXJQN	FTSE Rafi Asia Pacific E
FRAU200	FTSE Rafi Australia 200
FRAW3	FTSE Rafi All-World 3000
FRAW3Q	FTSE Rafi All World 3000
FRAWLVNU	FTSE Rafi All-World Low
FRAWLVQU	FTSE Rafi All-World Low
FRBR5	FTSE Rafi Brazil 50 Inde
FRCAN	FTSE Rafi Canada Index
FRCANQ	FTSE Rafi Canada Index -
FRCHEN	FTSE Rafi Switzerland Index
FRCL	Foreign & Colonial Investment Trust Plc
FRD	FTSE Rafi Dev 1000 Idx
FRDAPXJ	FTSE Rafi Dev Asia/Pac Ex Japan
FRDAPXJN	FTSE Rafi Dev Asia Pacific Ex Jap Net In
FRDAPXJQ	FTSE Rafi Developed Asia
FRDELVN	FTSE Rafi Developed Euro
FRDELVNU	FTSE Rafi Developed Low
FRDELVQ	FTSE Rafi Developed Euro
FRDELVQU	FTSE Rafi Developed Low
FRDQ	FTSE Rafi Developed 1000
FREIAWN	FTSE Rafi All-World Equi
FREIDEN	FTSE Rafi Developed Euro
FREIDXU	FTSE Rafi Dev Xusei
FREIDXUN	FTSE Rafi Equity Income Developed Ex US
FREIEM	FTSE Rafi EM Eq Inc
FREIEMN	FTSE Rafi Emerging Equit
FREIUKN	FTSE Rafi UK Equity Inco
FREIUSA	FTSE Rafi US Eq Inc
FREIUSAN	FTSE Rafi US Equity Inco
FREM	FTSE Rafi Emerging Index
FREMLVNU	FTSE Rafi USD Emerging L
FREMLVQU	FTSE Rafi Emerging Low V
FREMN	FTSE Rafi Emer Nt Index
FREMQ	FTSE Rafi Emerging Index
FREMQN	FTSE Rafi Emerging Net I
FRES	Fresnillo Plc
FREU	FTSE Europe Index
FREUQ	FTSE Rafi Europe Index -
FREZ	FTSE Rafi Eurozone Index
FRGBR1	FTSE Rafi UK 100 Index
FRGBR1N	FTSE Rafi UK 100 Net Ind
FRGBR1Q	FTSE Rafi UK 100 Index -
